username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
KellyTownsend11;2018-05-15 05:44;2;7;"Update regarding school boeards and teacher pay. # RedForEd # purpleforparents # redforedaz # azleg https://m.facebook.com/story.php?story_fbid=10215726602658870&id=1257203940 …";;;# # # #;"996370668303273985";https://twitter.com/KellyTownsend11/status/996370668303273985
MeemsAz;2018-05-14 22:04;0;5;"There really is no question, Arizona should not be at the bottom of Education spending. @ dougducey # Redforedaz # INVESTinED # actinaugust # rememberinnovember https://www.facebook.com/SteveIrvin/posts/2435407696484779 …";;@;# # # #;"996255086765473792";https://twitter.com/MeemsAz/status/996255086765473792
ChanlElvn;2018-05-14 13:36;0;0;"# redforedaz # Teachers # TeachersProtectOurFuture https://twitter.com/AskAKorean/status/994951789119188992 …";;;# # #;"996127161802084352";https://twitter.com/ChanlElvn/status/996127161802084352
TeacherTalkwZC;2018-05-14 12:59;0;0;"The fight in Arizona is far from over. Districts might try to retaliate, but as this issue moves on to a statewide ballot, it seems to me like we've still got public support on our side. # RedForEd # RedForEdAZ http://www.wsws.org/en/articles/2018/05/14/ariz-m14.html …";;;# #;"996117832030216193";https://twitter.com/TeacherTalkwZC/status/996117832030216193
huntersjames;2018-05-13 12:43;0;0;"@ Dbacks @ Suns @ AZCardinals @ ArizonaCoyotes Your next taxpayer-funded stadium deal has been moved to the back of the line. We'll get back to you right after we fix teacher and school funding. Health care too. # getReal # redforedaz";;@ @ @ @;# #;"995751493729845248";https://twitter.com/huntersjames/status/995751493729845248
MGiavanni;2018-05-13 08:37;0;0;"Denver police officer charged with beating handcuffed suspect in bar basement https://dpo.st/2KhsX6i  via @ DenverTeachers # teachersstrike # redforedaz how do kids grow up to do this???";;@;# #;"995689601456001024";https://twitter.com/MGiavanni/status/995689601456001024
lmguzman68;2018-05-13 07:13;0;0;"Should we find petitions even though we have signed it online? # redforedaz";;;#;"995668356211462144";https://twitter.com/lmguzman68/status/995668356211462144
Dalessandro4AZ;2018-05-12 11:48;2;5;"At AEA Delegate Assembly with Senator Katie Hobbs & Reps. Isela Blanc, Drew John and Mark Cardenas. I have been at this for years & I have never seen such a revved up auditorium full of educators from AEA and AEA Retired. # RedForEd # RedforEdAZ pic.twitter.com/HVfHM0Xcme";;;# #;"995375280842653697";https://twitter.com/Dalessandro4AZ/status/995375280842653697
EffieResists;2018-05-11 19:55;2;4;"Uncool. # RedForEd # RedForEdAZ https://twitter.com/noeygriff/status/995118185199190016 …";;;# #;"995135383045210112";https://twitter.com/EffieResists/status/995135383045210112
tskowron;2018-05-11 18:19;0;0;"Arizona Education Association Delegate Assembly this weekend. Teachers rock. # redforedaz pic.twitter.com/hCAZTgojUf";;;#;"995111173895766020";https://twitter.com/tskowron/status/995111173895766020
luvsgrapes;2018-05-11 17:57;0;3;"AZ legislators need to pay attention to this. # RedforEdAZ https://twitter.com/mog7546/status/995008798396993536 …";;;#;"995105746755903489";https://twitter.com/luvsgrapes/status/995105746755903489
almaviaje;2018-05-11 15:35;0;0;"One of my favorite signs of the day # redforedaz # governorduceylisten… https://www.instagram.com/p/Bip3R2JDKCy/?utm_source=ig_twitter_share …";;;# #;"995069949797437442";https://twitter.com/almaviaje/status/995069949797437442
daersay;2018-05-11 09:17;0;0;"Shocking. # RememberInNovember # redforedaz https://twitter.com/azpmnews/status/994970537804947456 …";;;# #;"994974735552282624";https://twitter.com/daersay/status/994974735552282624
RedForEdchange;2018-05-11 07:55;0;0;"Don't walkout on your students! Go to the ballots! # redforedaz";;;#;"994954112209846273";https://twitter.com/RedForEdchange/status/994954112209846273
RedForEdchange;2018-05-11 07:53;0;0;"Teachers still don't have every demand they want. We still need to fight # redforedaz";;;#;"994953586936201222";https://twitter.com/RedForEdchange/status/994953586936201222
A_DLCC;2018-05-10 10:50;2;2;"Like we said, Educators are running for office! # redforedaz Find out who is running in your area and help them qualify for the ballot at https://apps.azsos.gov/equal/  https://www.buzzfeed.com/coralewis/teachers-strike-running-elected-office-oklahoma-arizona?utm_term=.bgZG9GyDD&bftwnews#.iepE8Eq22 …";;;# #;"994635705065226240";https://twitter.com/A_DLCC/status/994635705065226240
Tea_Party_Chris;2018-05-10 09:47;1;1;"6 of # Basis # AZcharterSchools were in top 10 nationally Due to # Red4Ed illegal strike my neighbor pulled her 4 children from # AZdistrictSchool . Some # AZparents will not be held hostage by # RedForEdaz teachers # PurpleForParentshttps://twitter.com/brahmresnik/status/993517117675716608 …";;;# # # # # # #;"994619861287383040";https://twitter.com/Tea_Party_Chris/status/994619861287383040
lauracatalano76;2018-05-09 15:56;0;0;"# redforedaz https://www.facebook.com/groups/816347815228992/permalink/823417724522001/ …";;;#;"994350358334881792";https://twitter.com/lauracatalano76/status/994350358334881792
PinalGOP;2018-05-09 11:46;2;0;"This from a # AZdistrictSchool system which took a lesser price on vacant property cuz they didn’t want to sell to a # AZcharterSchool that offered more $ # PimaCounty # TUSD # PinalCounty # purpleforparents # RedForEd # Red4Ed # redforedaz # redforedexposed # AZleg @ dougduceyhttps://twitter.com/aztaxresearch/status/994244347485831168 …";;@;# # # # # # # # # # #;"994287584091168768";https://twitter.com/PinalGOP/status/994287584091168768
PinalGOP;2018-05-09 10:24;0;0;"# PinalCounty # AZschoolChoice # PurpleForParents # Red4Ed # RedForEdexposed # RedForEdaz # RedForEd # AZcharterSchoolshttps://twitter.com/vinceleach/status/994223297091911681 …";;;# # # # # # # #;"994266755911467008";https://twitter.com/PinalGOP/status/994266755911467008
rdschlosser;2018-05-09 09:55;0;0;"When you don't have to account for your money, this is what happens. # redforedaz https://twitter.com/KelliButlerAZ/status/994230582329524224 …";;;#;"994259513313120256";https://twitter.com/rdschlosser/status/994259513313120256
MitziEpstein;2018-05-09 07:52;11;10;""9% raise is a fallacy that the governor is pushing." ... The DAA increase is "a drop in the pond compared to all the deferred maintenance" schools have. Tucson teachers won't get the whole 9% raise # azbudget # RedForEd # redforedaz http://tucson.com/news/local/at-tusd-teachers-won-t-get-the-whole-raise-redfored/article_7a53ce72-9385-500e-909f-5b565415d859.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @ tucsonstar";;@;# # #;"994228723644645381";https://twitter.com/MitziEpstein/status/994228723644645381
azvibesports;2018-05-09 05:12;0;0;"You really need to work on the spinning of you getting caught being lazy asses for years and giving teachers raises BEFORE they went on strike. This is rank amateur work here. # redforedaz # redforedhttps://twitter.com/azgop/status/993932134489493509 …";;;# #;"994188372049612800";https://twitter.com/azvibesports/status/994188372049612800
DustyInArizona;2018-05-09 04:43;0;2;"*WARNING If unions gain strength in # Arizona, the same will happen here. We must stop # redforedaz https://twitter.com/JamesOKeefeIII/status/994177281223512064 …";;;# #;"994181111625408513";https://twitter.com/DustyInArizona/status/994181111625408513
JeniWins;2018-05-09 04:17;0;1;"I love seeing the cooperation between # redforedaz and . @ PHXMarch4Lives # safertogetherpic.twitter.com/zt0qDRQCUe";;@;# #;"994174438303088643";https://twitter.com/JeniWins/status/994174438303088643
grannydebs52;2018-05-08 20:27;0;0;"Vote # redforedaz https://twitter.com/A_DLCC/status/993985085689839616 …";;;#;"994056180241612800";https://twitter.com/grannydebs52/status/994056180241612800
